"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit"
"68444620","73334399","35000","35000","35000"," 60 months"," 11.99%","778.38","C","C1","Foreign Service Officer","10+ years","MORTGAGE","128000","Source Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68444620","","home_improvement","Home improvement","200xx","DC","6.46","0","Feb-1990","685","689","0","46","","17","0","14277","27.4%","46","w","30041.83","30041.83","8503.9","8503.90","4958.17","3545.73","0.0","0.0","0.0","Dec-2016","778.38","Jan-2017","Dec-2016","669","665","0","56","1","INDIVIDUAL","","","","0","321","146867","1","11","0","0","28","35367","49","0","1","5020","40","52200","1","4","0","3","8639","17248","35.6","0","0","206","310","19","3","5","99","46","15","46","1","3","4","3","6","26","5","11","4","17","0","0","0","1","91.3","33.3","0","0","220950","49644","26800","71700"
"68426545","73316365","16000","16000","16000"," 60 months"," 12.88%","363.07","C","C2","Senior Structural Designer","1 year","MORTGAGE","70000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68426545","","debt_consolidation","Debt consolidation","786xx","TX","26.4","0","Feb-1988","720","724","0","","","13","0","28705","56.3%","29","w","13778.63","13778.63","3965.15","3965.15","2221.37","1743.78","0.0","0.0","0.0","Dec-2016","363.07","Jan-2017","Dec-2016","734","730","0","","1","INDIVIDUAL","","","","0","0","265836","0","2","0","2","13","33702","74","1","1","8739","64","51000","0","0","1","3","24167","17922","61","0","0","147","334","9","9","2","9","","11","","0","4","6","5","12","6","10","21","6","13","0","0","0","1","100","60","0","0","309638","62407","45900","45838"
"68466926","73356763","10000","10000","10000"," 36 months","  6.49%","306.45","A","A2","SERVICE MANAGER","6 years","RENT","85000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68466926","","credit_card","Credit card refinancing","160xx","PA","13.07","0","Apr-2002","685","689","1","","106","14","1","10464","34.5%","23","w","7147.67","7147.67","3361.94","3361.94","2852.33","509.61","0.0","0.0","0.0","Dec-2016","306.45","Jan-2017","Dec-2016","724","720","0","","1","INDIVIDUAL","","","","0","8341","27957","2","1","0","0","35","17493","57","2","7","2524","46","30300","2","0","1","7","1997","8182","50.1","0","0","164","129","1","1","1","4","","1","","0","6","9","7","10","3","13","19","9","14","0","0","0","2","95.7","28.6","1","0","61099","27957","16400","30799"
"68356614","73246437","7200","7200","7200"," 36 months"," 11.48%","237.36","B","B5","Legal Administrative Assistant","10+ years","MORTGAGE","72500","Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68356614","","home_improvement","Home improvement","300xx","GA","8.47","0","Aug-2004","725","729","1","","","5","0","5449","35.2%","7","w","5255.48","5255.48","2599.48","2599.48","1944.52","654.96","0.0","0.0","0.0","Dec-2016","237.36","Jan-2017","Dec-2016","664","660","0","","1","INDIVIDUAL","","","","0","0","147791","2","1","0","1","23","14807","66","3","3","2445","53","15500","1","0","2","4","29558","10051","35.2","0","0","111","7","2","2","2","2","","0","","0","3","3","3","3","2","3","3","3","5","0","0","0","3","100","0","0","0","189950","20256","15500","22450"
"68387134","73276991","2500","2500","2500"," 36 months"," 17.27%","89.47","D","D3","Teacher","10+ years","MORTGAGE","50000","Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68387134","","other","Other","330xx","FL","17.6","3","Jan-2001","670","674","4","6","","7","0","732","31.1%","22","w","1867.38","1867.38","978.17","978.17","632.62","345.55","0.0","0.0","0.0","Dec-2016","89.47","Jan-2017","Dec-2016","654","650","0","18","1","INDIVIDUAL","","","","0","0","197169","3","3","2","4","2","196437","95","1","2","48","87","2500","6","3","5","6","28167","652","6.9","0","0","149","179","3","2","0","3","","0","6","3","1","4","1","1","14","4","8","4","7","0","0","1","3","68.4","0","0","0","196429","197169","700","193929"
"68446771","73336594","7200","7200","7200"," 36 months"," 15.77%","252.32","D","D1","Bank Officer Senior Customer Care Spec.","< 1 year","RENT","55000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68446771","","debt_consolidation","","142xx","NY","17.35","0","Jun-2005","680","684","0","59","74","24","1","5938","69%","43","w","5346.70","5346.70","2759.75","2759.75","1853.30","906.45","0.0","0.0","0.0","Dec-2016","252.32","Jan-2017","Dec-2016","719","715","0","","1","INDIVIDUAL","","","","0","0","275831","1","18","3","9","5","269893","110","0","3","3234","108","8600","4","0","9","12","11493","1521","77.3","0","0","111","126","15","5","0","15","","5","","0","2","3","4","5","35","6","8","3","24","0","0","0","3","97.7","50","0","1","255047","275831","6700","246447"
"68615044","73517819","16000","16000","16000"," 60 months"," 13.99%","372.21","C","C4","Registered Nurse","9 years","MORTGAGE","142000","Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68615044","","debt_consolidation","Debt consolidation","945xx","CA","17.74","2","Oct-2004","680","684","2","8","39","15","2","2273","39.9%","19","w","13834.24","13834.24","4063.22","4063.22","2165.76","1897.46","0.0","0.0","0.0","Dec-2016","372.21","Jan-2017","Dec-2016","664","660","0","43","1","INDIVIDUAL","","","","0","0","667373","0","7","0","6","17","109893","69","0","1","1959","66","5700","5","0","3","7","47670","2827","44.6","0","0","134","98","23","17","1","23","29","4","13","1","2","2","4","5","10","7","8","2","15","0","0","0","0","73.7","25","0","2","704224","112166","5100","124120"
"68426699","73316523","20000","20000","20000"," 36 months","  6.49%","612.89","A","A2","TEAM LEAD, QUALITY ENGINEER","6 years","MORTGAGE","55000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68426699","","debt_consolidation","Debt consolidation","381xx","TN","29.15","0","Sep-1994","750","754","0","74","","9","0","4851","23.8%","23","w","14295.45","14295.45","6723.76","6723.76","5704.55","1019.21","0.0","0.0","0.0","Dec-2016","612.89","Jan-2017","Dec-2016","749","745","0","","1","INDIVIDUAL","","","","0","0","205155","1","3","1","4","3","36812","79","1","1","2776","62","20400","1","0","3","5","25644","9924","21.9","0","0","87","255","8","3","1","8","","3","","0","1","3","2","9","8","5","14","3","9","0","0","0","2","95.7","0","0","0","247433","41663","12700","46367"
"68341789","73544827","24250","24250","24250"," 60 months"," 24.24%","701.01","F","F3","hvac technician","4 years","MORTGAGE","75000","Not Verified","Dec-2015","Charged Off","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68341789","","debt_consolidation","","114xx","NY","20.84","0","Apr-2007","660","664","0","","","18","0","24799","65.3%","21","w","0.00","0.00","4124.42","4124.42","1332.69","2791.73","0.0","0.0","0.0","Jul-2016","701.01","","Dec-2016","499","0","0","","1","INDIVIDUAL","","","","0","0","320098","2","1","0","1","14","13676","75","2","10","3138","61","38000","1","1","3","13","17783","9044","68.9","0","0","93","104","2","2","2","2","","7","","0","10","12","11","12","2","15","16","12","18","0","0","0","3","100","63.6","0","0","344960","38475","29100","18300"
"68506789","73396614","12000","12000","12000"," 60 months","  9.80%","253.79","B","B3","Teacher","10+ years","MORTGAGE","65000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68506789","","debt_consolidation","Debt consolidation","660xx","KS","23.84","0","Nov-2003","785","789","0","","","18","0","9786","13.4%","37","w","10214.59","10214.59","2775.36","2775.36","1785.41","989.95","0.0","0.0","0.0","Dec-2016","253.79","Jan-2017","Dec-2016","829","825","0","","1","INDIVIDUAL","","","","0","0","181540","2","6","2","3","1","65001","61","1","5","7909","42","73200","0","0","0","8","10086","41055","17.1","0","0","127","145","4","1","2","4","","14","","0","2","4","5","10","13","11","22","4","18","0","0","0","3","100","0","0","0","291626","74787","49500","105910"
"68356922","73246751","4200","4200","4200"," 36 months"," 13.99%","143.53","C","C4","Patrol Officer","2 years","RENT","32000","Source Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68356922","","other","Other","377xx","TN","31.02","0","Nov-2009","705","709","2","50","","10","0","1294","11.7%","16","w","3096.98","3096.98","1570.67","1570.67","1103.02","467.65","0.0","0.0","0.0","Dec-2016","143.53","Jan-2017","Dec-2016","669","665","0","60","1","INDIVIDUAL","","","","0","0","38865","2","6","2","5","1","37571","89","1","2","173","73","11100","3","3","3","7","3887","5422","3.2","0","0","73","72","6","1","0","6","","0","","1","2","4","2","2","8","4","7","4","10","0","0","0","3","87.5","0","0","0","53161","38865","5600","42061"
"66615254","71341090","7200","7200","7200"," 36 months"," 17.27%","257.67","D","D3","Department Manager ","9 years","OWN","20000","Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=66615254","","debt_consolidation","Debt consolidation","023xx","MA","13.21","1","Apr-2003","705","709","1","23","","8","0","7302","32.6%","17","w","5197.83","5197.83","3043.61","3043.61","2002.17","1041.44","0.0","0.0","0.0","Dec-2016","257.67","Jan-2017","Dec-2016","599","595","0","","1","INDIVIDUAL","","","","0","0","7302","2","0","1","1","12","0","","3","4","5509","33","22400","2","0","3","5","913","9831","41.8","0","0","128","152","5","5","0","5","23","0","23","0","3","4","5","10","2","8","15","4","8","0","0","0","4","94.1","0","0","0","22400","7302","16900","0"
"68616873","73519699","8000","8000","8000"," 36 months"," 11.48%","263.74","B","B5","Vendor liaison","10+ years","MORTGAGE","42000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68616873","","credit_card","Credit card refinancing","029xx","RI","34.8","0","Nov-1994","700","704","0","75","","8","0","7034","39.1%","18","w","5569.93","5569.93","3152.12","3152.12","2430.07","722.05","0.0","0.0","0.0","Dec-2016","263.74","Jan-2017","Dec-2016","734","730","0","75","1","INDIVIDUAL","","","","0","0","199696","0","2","2","3","10","106748","72","0","2","4725","49","18000","0","0","1","5","28528","9966","41.4","0","0","155","253","15","10","1","50","","10","","1","3","3","3","6","5","5","11","3","8","0","0","0","2","94.4","33.3","0","0","256513","113782","17000","135513"
"68407277","73297111","3600","3600","3600"," 36 months"," 13.99%","123.03","C","C4","leadman","10+ years","MORTGAGE","55000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68407277","","debt_consolidation","Debt consolidation","190xx","PA","5.91","0","Aug-2003","675","679","1","30","","7","0","2765","29.7%","13","w","2654.50","2654.50","1346.33","1346.33","945.50","400.83","0.0","0.0","0.0","Dec-2016","123.03","Jan-2017","Dec-2016","659","655","0","30","1","INDIVIDUAL","","","","0","722","144904","2","2","0","1","21","4981","36","3","3","722","34","9300","3","1","4","4","20701","1506","37.2","0","0","148","128","3","3","1","4","69","4","69","2","2","4","2","5","3","4","9","4","7","0","0","0","3","76.9","0","0","0","178050","7746","2400","13734"
"68377006","73266831","6000","6000","6000"," 36 months","  7.91%","187.77","A","A5","Road driver","10+ years","MORTGAGE","105000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68377006","","car","Car financing","431xx","OH","14.45","0","May-2006","685","689","1","","16","9","3","8353","65.3%","11","w","4314.77","4314.77","2058.88","2058.88","1685.23","373.65","0.0","0.0","0.0","Dec-2016","187.77","Jan-2017","Dec-2016","594","590","0","","1","INDIVIDUAL","","","","0","0","182893","0","3","0","1","19","32262","60","0","2","1503","61","12800","3","0","1","3","20321","2953","51.6","0","0","103","115","19","19","1","83","","6","","0","3","5","3","3","5","5","5","5","9","0","0","0","0","100","0","0","3","225933","40615","6100","54068"
"68397043","73286897","28000","28000","28000"," 60 months"," 14.85%","663.92","C","C5","Division General Manager","2 years","MORTGAGE","85000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68397043","","debt_consolidation","Debt consolidation","300xx","GA","28.52","0","Nov-1999","670","674","0","","","19","0","36814","71.8%","29","w","24284.11","24284.11","7245.37","7245.37","3715.89","3529.48","0.0","0.0","0.0","Dec-2016","663.92","Jan-2017","Dec-2016","664","660","0","","1","INDIVIDUAL","","","","0","150","256638","0","2","0","1","16","20515","69","1","3","14170","71","51300","0","0","0","4","14258","3764","84.9","0","0","150","193","11","11","2","11","","19","","0","5","15","6","11","5","16","22","15","19","0","0","0","1","100","60","0","0","280650","57329","25000","29709"
"68525943","73415740","20000","20000","20000"," 36 months"," 12.88%","672.73","C","C2","President","10+ years","MORTGAGE","145000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68525943","","debt_consolidation","Debt consolidation","029xx","RI","12.28","0","Feb-2004","695","699","0","","","12","0","22551","80.2%","21","w","14682.00","14682.00","7364.25","7364.25","5318.00","2046.25","0.0","0.0","0.0","Dec-2016","672.73","Jan-2017","Dec-2016","724","720","0","","1","INDIVIDUAL","","","","0","0","429218","2","3","1","2","2","9935","43","2","3","4627","62","28500","1","0","6","5","39020","2822","81.6","0","0","79","142","4","2","5","27","","1","","0","4","6","5","8","5","7","11","6","12","0","0","0","3","100","75","0","0","472759","32486","13500","23259"
"68416935","73306760","15000","15000","15000"," 36 months","  9.80%","482.61","B","B3","Electronic Branch Manager","3 years","MORTGAGE","92000","Not Verified","Dec-2015","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68416935","","debt_consolidation","Debt consolidation","973xx","OR","13.89","0","Nov-2001","680","684","1","","67","7","2","12703","35.2%","31","w","0.00","0.00","15415.46","15415.46","15000.00","415.46","0.0","0.0","0.0","Apr-2016","14450.25","","Apr-2016","689","685","0","","1","INDIVIDUAL","","","","0","0","312996","0","2","2","2","8","40694","70","1","1","7045","42","36100","0","3","2","5","44714","23397","35.2","0","0","159","169","12","8","6","12","","4","","0","3","3","4","9","15","4","10","3","7","0","0","0","4","100","0","1","0","347470","53397","36100","47370"
"68416953","73306779","1500","1500","1500"," 36 months","  6.49%","45.97","A","A2","","n/a","MORTGAGE","45000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68416953","","vacation","Vacation","967xx","HI","16.11","0","Dec-1987","745","749","0","39","","12","0","3717","21.2%","37","w","1072.12","1072.12","504.32","504.32","427.88","76.44","0.0","0.0","0.0","Dec-2016","45.97","Jan-2017","Dec-2016","669","665","0","","1","INDIVIDUAL","","","","0","0","158643","3","2","1","2","3","14683","81","3","5","3382","52","17500","0","1","1","8","15864","8818","27.7","0","0","123","336","6","3","4","6","39","12","39","0","1","3","4","15","8","9","25","3","12","0","0","0","4","97.2","0","0","0","179105","18400","12200","18050"
"68009401","72868139","16000","16000","16000"," 60 months"," 14.85%","379.39","C","C5","Bookkeeper/Accounting","10+ years","MORTGAGE","48000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68009401","","credit_card","Credit card refinancing","297xx","SC","33.18","0","Jun-1991","685","689","0","33","2","11","2","19108","29.6%","19","w","13876.55","13876.55","4140.29","4140.29","2123.45","2016.84","0.0","0.0","0.0","Dec-2016","379.39","Jan-2017","Dec-2016","669","665","0","33","1","INDIVIDUAL","","","","0","0","31329","1","2","1","2","6","12221","91","1","4","14982","65","284700","0","0","1","6","2848","263953","17.6","0","0","131","294","11","6","2","11","76","11","76","2","6","9","6","8","6","9","11","9","11","0","0","0","2","78.9","0","0","2","298100","31329","281300","13400"
"68565856","73455664","9000","9000","9000"," 36 months","  9.17%","286.92","B","B2","Truck Driver","1 year","OWN","50000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68565856","","debt_consolidation","Debt consolidation","670xx","KS","11.98","0","Jun-2001","800","804","2","","","5","0","7518","48.5%","11","w","6472.09","6472.09","3179.72","3179.72","2527.91","651.81","0.0","0.0","0.0","Dec-2016","286.92","Jan-2017","Dec-2016","724","720","0","","1","INDIVIDUAL","","","","0","0","40272","1","1","0","0","37","6600","40","1","1","7392","44","15500","1","0","2","1","8054","7982","48.5","0","0","165","174","4","4","2","4","","0","","0","2","2","3","5","3","3","6","2","5","0","0","0","1","100","33.3","0","0","69818","14118","15500","16318"
"68566886","73456723","29900","29900","29900"," 60 months"," 12.88%","678.49","C","C2","Corporate Insurance","10+ years","MORTGAGE","65000","Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68566886","","debt_consolidation","Debt consolidation","219xx","MD","21.77","0","May-2004","715","719","0","","","15","0","31682","46.7%","31","w","25748.78","25748.78","7441.99","7441.99","4151.22","3290.77","0.0","0.0","0.0","Dec-2016","678.49","Jan-2017","Dec-2016","744","740","0","","1","INDIVIDUAL","","","","0","0","220251","2","1","1","2","9","10815","69","3","5","12971","51","67800","0","4","1","7","15732","18383","45.9","0","0","114","139","5","5","2","5","","9","","0","2","5","4","9","8","13","21","5","15","0","0","0","4","100","25","0","0","271700","42497","34000","15574"
"68577849","73467703","18000","18000","18000"," 60 months"," 11.99%","400.31","C","C1","GS-11","10+ years","MORTGAGE","112000","Not Verified","Dec-2015","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68577849","","debt_consolidation","Debt consolidation","856xx","AZ","8.68","0","Nov-1993","800","804","0","","","17","0","10711","15.5%","27","w","0.00","0.00","18387.22","18387.22","18000.00","387.22","0.0","0.0","0.0","Mar-2016","18004.9","","Dec-2016","754","750","0","","1","INDIVIDUAL","","","","0","0","205067","3","1","2","2","3","25416","97","2","3","7672","38","82400","0","1","1","5","17089","60336","16.7","0","0","109","265","1","1","4","1","","10","","0","5","6","12","12","6","15","17","6","16","0","0","0","4","100","0","0","0","309710","36127","69800","26210"
"68496036","73385833","10500","10500","10500"," 36 months"," 15.77%","367.96","D","D1","Software Engineer","3 years","RENT","70100","Source Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68496036","","credit_card","Credit card refinancing","661xx","KS","8.51","0","Aug-2008","660","664","0","35","","5","0","8280","77.4%","10","w","7797.35","7797.35","4024.56","4024.56","2702.65","1321.91","0.0","0.0","0.0","Dec-2016","367.96","Jan-2017","Dec-2016","674","670","0","35","1","INDIVIDUAL","","","","0","0","26327","1","1","1","1","9","18047","84","2","2","5706","82","10700","2","0","6","3","5265","2420","77.4","0","0","9","88","6","6","0","6","35","4","35","2","3","3","4","7","1","4","9","3","5","0","0","0","3","80","50","0","0","32280","26327","10700","21580"
"68367009","73256861","14025","14025","14025"," 60 months"," 18.49%","359.9","D","D5","accts payable","10+ years","MORTGAGE","39000","Verified","Dec-2015","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68367009","","debt_consolidation","Debt consolidation","546xx","WI","18","0","Aug-2001","675","679","1","","","12","0","15646","74.9%","21","w","0.00","0.00","16341.3907923605","16341.39","14025.00","2316.39","0.0","0.0","0.0","Dec-2016","12764.01","","Dec-2016","689","685","0","","1","INDIVIDUAL","","","","0","0","60381","1","0","0","0","91","0","","2","5","4879","75","20900","0","0","2","5","5032","578","93.4","0","0","138","172","2","2","3","2","","2","","0","3","11","3","3","4","11","13","11","12","0","0","0","2","100","66.7","0","0","72286","15646","8800","0"
"67275481","72077199","20000","20000","20000"," 36 months","  8.49%","631.26","B","B1","road driver","10+ years","MORTGAGE","85000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=67275481","","major_purchase","Major purchase","293xx","SC","17.61","1","Feb-1999","705","709","0","3","","8","0","826","5.7%","15","w","14417.96","14417.96","6920.28","6920.28","5582.04","1338.24","0.0","0.0","0.0","Dec-2016","631.26","Jan-2017","Dec-2016","684","680","0","3","1","INDIVIDUAL","","","","0","0","141601","0","3","0","4","13","27111","75","0","0","640","55","14500","1","0","2","4","17700","13674","5.7","0","0","149","55","32","13","3","32","","8","","1","2","2","3","3","9","3","3","2","8","0","0","1","0","93.3","0","0","0","193390","27937","14500","36144"
"66624733","71350547","18000","18000","18000"," 60 months"," 19.48%","471.7","E","E2","Software Manager","7 years","RENT","150000","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=66624733","","debt_consolidation","Debt consolidation","916xx","CA","9.39","0","Jun-2005","665","669","1","","75","18","1","14052","40.7%","27","w","15642.89","15642.89","5475.34","5475.34","2357.11","3118.23","0.0","0.0","0.0","Dec-2016","471.7","Jan-2017","Dec-2016","689","685","0","","1","INDIVIDUAL","","","","0","60","36247","2","2","1","3","2","22195","71","2","4","1271","55","34500","2","1","2","7","2014","5128","51.3","0","0","115","112","1","1","2","9","","2","","0","6","13","7","8","6","16","19","13","18","0","0","0","3","100","14.3","1","0","65819","36247","10300","31319"
"68476807","73366655","10400","10400","10400"," 60 months"," 22.45%","289.91","F","F1","Contract Specialist","3 years","MORTGAGE","104433","Source Verified","Dec-2015","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68476807","","major_purchase","Major purchase","174xx","PA","25.37","1","Jun-1998","695","699","3","12","","12","0","21929","64.5%","35","w","0.00","0.00","11740.5","11740.50","10400.00","1340.50","0.0","0.0","0.0","Jul-2016","10128.96","","Dec-2016","754","750","0","","1","INDIVIDUAL","","","","0","0","331730","1","3","0","3","14","73839","84","4","7","9702","78","34000","2","1","3","10","27644","4567","77.5","0","0","128","210","4","4","6","4","12","1","12","0","4","6","5","9","10","7","19","6","12","0","0","0","4","96.6","60","0","0","439570","95768","20300","88097"
"68366663","73256496","24000","24000","24000"," 60 months","  9.80%","507.58","B","B3","","n/a","OWN","77900","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68366663","","home_improvement","Home improvement","376xx","TN","10.24","0","Oct-1982","740","744","1","50","","9","0","3454","10.3%","21","w","20429.18","20429.18","5550.71","5550.71","3570.82","1979.89","0.0","0.0","0.0","Dec-2016","507.58","Jan-2017","Dec-2016","729","725","0","50","1","INDIVIDUAL","","","","0","0","127412","0","1","0","0","73","1456","4","0","1","3309","7","33600","1","0","2","1","14157","27172","10.9","0","0","139","398","22","22","2","22","","0","","1","2","3","4","6","6","7","13","3","9","0","0","0","0","95.2","0","0","0","202351","4910","30500","33631"
"68426831","73316657","11950","11950","11950"," 36 months"," 13.44%","405.18","C","C3","Veterinary Tecnician","4 years","RENT","34000","Source Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68426831","","debt_consolidation","Debt consolidation","300xx","GA","10.2","0","Oct-1987","690","694","0","","","5","0","8822","68.4%","6","w","8792.37","8792.37","4434.67","4434.67","3157.63","1277.04","0.0","0.0","0.0","Dec-2016","405.18","Jan-2017","Dec-2016","754","750","0","","1","INDIVIDUAL","","","","0","0","12798","0","1","0","0","338","3976","99","0","0","4522","76","12900","0","0","0","0","2560","844","91","0","0","338","54","32","32","0","36","","","","0","2","3","2","2","2","4","4","3","5","0","0","0","0","100","100","0","0","16900","12798","9400","4000"
"68516838","73406653","23850","23850","23850"," 60 months"," 17.27%","596.21","D","D3","Teacher","10+ years","OWN","68046","Not Verified","Dec-2015","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=68516838","","debt_consolidation","Debt consolidation","231xx","VA","24.71","1","Sep-1993","665","669","0","23","","12","0","28220","91.3%","33","f","20858.21","20858.21","6512.54","6512.54","2991.79","3520.75","0.0","0.0","0.0","Dec-2016","596.21","Jan-2017","Dec-2016","679","675","0","23","1","INDIVIDUAL","","","","0","342","525195","0","1","0","0","45","4453","44","0","0","7494","80","30900","0","0","0","0","47745","6","99.9","0","0","140","267","70","45","4","99","","","23","2","1","7","2","6","9","9","20","8","12","0","0","1","0","90.9","100","0","0","554242","32673","7500","10100"
